Package                             Current  Wanted  Latest  Location
autoprefixer                          6.7.7  linked  linked  my-plugins
babel-core                           6.24.1  linked  linked  my-plugins
babel-loader                          6.4.1  linked  linked  my-plugins
babel-plugin-transform-runtime       6.23.0  linked  linked  my-plugins
babel-preset-env                      1.4.0  linked  linked  my-plugins
babel-preset-stage-2                 6.24.1  linked  linked  my-plugins
babel-register                       6.24.1  linked  linked  my-plugins
chalk                                 1.1.3  linked  linked  my-plugins
chromedriver                         2.29.0  linked  linked  my-plugins
connect-history-api-fallback          1.3.0  linked  linked  my-plugins
copy-webpack-plugin                   4.0.1  linked  linked  my-plugins
cross-spawn                           5.1.0  linked  linked  my-plugins
css-loader                           0.28.1  linked  linked  my-plugins
eventsource-polyfill                  0.9.6  linked  linked  my-plugins
express                              4.15.2  linked  linked  my-plugins
extract-text-webpack-plugin           2.1.0  linked  linked  my-plugins
file-loader                          0.11.1  linked  linked  my-plugins
friendly-errors-webpack-plugin        1.6.1  linked  linked  my-plugins
html-webpack-plugin                  2.28.0  linked  linked  my-plugins
http-proxy-middleware                0.17.4  linked  linked  my-plugins
less                                  2.7.2  linked  linked  my-plugins
less-loader                           2.2.3  linked  linked  my-plugins
nightwatch                           0.9.15  linked  linked  my-plugins
opn                                   4.0.2  linked  linked  my-plugins
optimize-css-assets-webpack-plugin    1.3.1  linked  linked  my-plugins
ora                                   1.2.0  linked  linked  my-plugins
rimraf                                2.6.1  linked  linked  my-plugins
selenium-server                       3.4.0  linked  linked  my-plugins
semver                                5.3.0  linked  linked  my-plugins
shelljs                               0.7.7  linked  linked  my-plugins
underscore                            1.8.3  linked  linked  my-plugins
url-loader                            0.5.8  linked  linked  my-plugins
vue                                   2.3.2  linked  linked  my-plugins
vue-loader                           11.3.4  linked  linked  my-plugins
vue-router                            2.5.3  linked  linked  my-plugins
vue-style-loader                      2.0.5  linked  linked  my-plugins
vue-template-compiler                 2.3.2  linked  linked  my-plugins
webpack                               2.5.0  linked  linked  my-plugins
webpack-bundle-analyzer               2.4.0  linked  linked  my-plugins
webpack-dev-middleware               1.10.2  linked  linked  my-plugins
webpack-hot-middleware               2.18.0  linked  linked  my-plugins
webpack-merge                         4.1.0  linked  linked  my-plugins
